scenario_id,scenario_type,amount,failure_reason,payment_method,customer_history,previous_failures,previous_successes,customer_value,retry_count,retry_failed_events,target_recovered
SCN-000022,CHECKOUT_ABANDONMENT,105911.62,CHECKOUT_ABANDONED,NONE,9,1,8,561982.63,0,0,1
SCN-000023,CHECKOUT_ABANDONMENT,109990.35,CHECKOUT_ABANDONED,NONE,12,5,7,492889.06,0,0,1
SCN-000024,CHECKOUT_ABANDONMENT,94943.67,CHECKOUT_ABANDONED,NONE,7,1,6,509076.97,0,0,1
SCN-000025,CHECKOUT_ABANDONMENT,3972.22,CHECKOUT_ABANDONED,NONE,5,1,4,29040.35,0,0,1
SCN-000026,CHECKOUT_ABANDONMENT,3160.74,CHECKOUT_ABANDONED,NONE,6,0,6,19470.77,0,0,1
SCN-000027,CHECKOUT_ABANDONMENT,8270.26,CHECKOUT_ABANDONED,NONE,7,2,5,31087.39,0,0,1
SCN-000028,CHECKOUT_ABANDONMENT,8990.05,CHECKOUT_ABANDONED,NONE,12,7,5,35885.71,0,0,1
SCN-000029,CHECKOUT_ABANDONMENT,11654.14,CHECKOUT_ABANDONED,NONE,6,1,5,421152.3,0,0,1
SCN-000030,CHECKOUT_ABANDONMENT,7292.98,CHECKOUT_ABANDONED,NONE,5,2,3,15267.24,0,0,1
SCN-000031,OVERDUE_RECEIVABLE,128775.99,CHECKOUT_ABANDONED,NONE,6,3,3,33286.98,0,0,1
SCN-000032,OVERDUE_RECEIVABLE,145981.8,CHECKOUT_ABANDONED,NONE,6,3,3,6797.76,0,0,1
SCN-000033,OVERDUE_RECEIVABLE,97415.07,CHECKOUT_ABANDONED,NONE,8,1,7,625296.52,0,0,1
SCN-000034,OVERDUE_RECEIVABLE,133667.58,CHECKOUT_ABANDONED,NONE,7,0,7,126733.06,0,0,1
SCN-000035,OVERDUE_RECEIVABLE,127107.91,CHECKOUT_ABANDONED,NONE,7,2,5,12568.98,0,0,1
SCN-000036,OVERDUE_RECEIVABLE,149793.84,CHECKOUT_ABANDONED,NONE,11,5,6,41403.46,0,0,1
SCN-000037,OVERDUE_RECEIVABLE,111718.52,CHECKOUT_ABANDONED,NONE,5,2,3,12235.1,0,0,1
SCN-000038,OVERDUE_RECEIVABLE,51993.98,CHECKOUT_ABANDONED,NONE,8,2,6,41560.21,0,0,1
SCN-000039,OVERDUE_RECEIVABLE,84290.74,CHECKOUT_ABANDONED,NONE,2,0,2,14452.49,0,0,1
SCN-000040,OVERDUE_RECEIVABLE,108814.38,CHECKOUT_ABANDONED,NONE,7,3,4,33905.4,0,0,1
SCN-000041,REPEATED_FAILURE_ESCALATION,1336.56,BANK_DECLINED,WALLET,12,6,6,21423.61,3,2,0
SCN-000042,REPEATED_FAILURE_ESCALATION,19828.17,BANK_DECLINED,WALLET,12,6,6,92790.96,3,2,0
SCN-000043,REPEATED_FAILURE_ESCALATION,125818.65,BANK_DECLINED,CARD,10,2,8,635798.66,3,2,0
SCN-000044,REPEATED_FAILURE_ESCALATION,17778.91,BANK_DECLINED,WALLET,6,1,5,98492.96,3,2,0
SCN-000045,REPEATED_FAILURE_ESCALATION,872.6,BANK_DECLINED,NETBANKING,4,1,3,12854.32,3,2,0
SCN-000046,REPEATED_FAILURE_ESCALATION,862.26,BANK_DECLINED,CARD,11,3,8,16251.44,3,2,0
SCN-000047,REPEATED_FAILURE_ESCALATION,13161.05,BANK_DECLINED,NETBANKING,10,5,5,74332.61,3,2,0
SCN-000048,REPEATED_FAILURE_ESCALATION,20456.28,BANK_DECLINED,CARD,4,1,3,36632.01,3,2,0
SCN-000049,REPEATED_FAILURE_ESCALATION,3514.78,BANK_DECLINED,NETBANKING,10,4,6,27816.29,3,2,0
SCN-000050,REPEATED_FAILURE_ESCALATION,121568.69,BANK_DECLINED,UPI,12,6,6,603809.83,3,2,0
